country,year,unemployment_rate,gdp_usd,total_cases,total_deaths
sri lanka,2020,5.36,84335574582.0,2007609,8690
sri lanka,2021,4.98,88556698938.0,104860576,2060844
sri lanka,2022,4.53,74143020263.0,239795027,5994844
sri lanka,2023,6.0,83716142582.0,245416395,6154665
sudan,2020,11.96,27034593750.0,2910926,186198
sudan,2021,11.04,34229513775.0,13109385,929258
sudan,2022,7.53,51666875363.0,22491274,1718998
suriname,2020,8.76,2911807496.0,726264,14861
suriname,2021,8.49,3107923198.0,8926994,200141
suriname,2022,8.16,3791603200.0,28655656,490941
suriname,2023,7.63,3455146281.0,30082493,512103
sweden,2020,8.29,545000000000.0,29078214,1455113
sweden,2021,8.72,637000000000.0,358167007,5136297
sweden,2022,7.39,580000000000.0,896409207,6978965
sweden,2023,7.61,585000000000.0,989616067,8928229
switzerland,2020,4.82,742000000000.0,28053705,641382
switzerland,2021,5.01,815000000000.0,266255478,3733361
switzerland,2022,4.12,829000000000.0,1304879142,4837271
switzerland,2023,4.04,894000000000.0,1608474632,5120327
tajikistan,2020,12.32,8133963551.0,1958321,15766
tajikistan,2021,12.33,8937805347.0,5565272,38828
tajikistan,2022,11.63,10713525200.0,6482770,45625
tajikistan,2023,11.55,12244169293.0,6491890,45625
tanzania,2020,2.78,66068737786.0,127124,5215
tanzania,2021,2.82,70655628148.0,3884670,108400
tanzania,2022,2.59,75769974505.0,13403373,300785
tanzania,2023,2.58,79062403837.0,15696511,308783
thailand,2020,1.1,500000000000.0,950547,14944
thailand,2021,1.22,506000000000.0,272843666,2623840
thailand,2022,0.94,496000000000.0,1486657277,10619503
thailand,2023,0.73,516000000000.0,1731930811,12488203
togo,2020,2.23,7400284168.0,368671,8495
togo,2021,2.33,8342243646.0,5825371,56002
togo,2022,1.97,8169476149.0,13730940,101137
togo,2023,1.95,9171261838.0,14408469,105850
tonga,2020,2.7,496856304.0,0,0
tonga,2021,2.11,518228029.0,62,0
tonga,2022,2.3,518180029.0,3797438,3234
tonga,2023,2.26,508735107.0,6135278,4380
trinidad and tobago,2020,4.21,20991339707.0,664281,12511
trinidad and tobago,2021,4.45,24177305760.0,11940246,326574
trinidad and tobago,2022,4.38,28510328245.0,57411573,1426791
trinidad and tobago,2023,4.21,25489373405.0,69590966,1596351
tunisia,2020,17.66,42491780918.0,7182458,209268
tunisia,2021,16.61,47073234359.0,169156450,5905553
tunisia,2022,15.3,44948769171.0,385823945,10385530
tunisia,2023,15.11,48196281784.0,420645490,10727341
turkmenistan,2020,4.5,45818000000.0,0,0
turkmenistan,2021,4.46,50007428571.0,0,0
turkmenistan,2022,4.11,58972000000.0,0,0
turkmenistan,2023,4.1,60628857143.0,0,0
uganda,2020,3.83,37600368240.0,1867947,19060
uganda,2021,3.42,40529788744.0,29261713,610572
uganda,2022,2.89,45565333216.0,60483890,1312021
uganda,2023,2.79,48768955859.0,62499034,1325526
ukraine,2020,9.48,157000000000.0,59741244,815548
ukraine,2021,9.83,200000000000.0,786226446,17293648
united arab emirates,2020,4.29,349000000000.0,21451362,96963
united arab emirates,2021,3.11,415000000000.0,210832055,617702
united arab emirates,2022,2.87,503000000000.0,345759531,843157
united arab emirates,2023,2.15,514000000000.0,387729502,857336
united kingdom,2020,4.47,2700000000000.0,168208747,15326920
united kingdom,2021,4.83,3140000000000.0,2249894276,56011658
united kingdom,2022,3.73,3110000000000.0,7960609419,72966016
united kingdom,2023,3.98,3370000000000.0,8981674841,82930308
united states,2020,8.06,21400000000000.0,1644172199,46133261
united states,2021,5.35,23700000000000.0,12988717263,222725344
united states,2022,3.65,26000000000000.0,31284214162,364341431
united states,2023,3.64,27700000000000.0,37551587940,412164583
uruguay,2020,10.41,53559359262.0,675129,11425
uruguay,2021,9.33,60739084241.0,97023993,1441304
uruguay,2022,7.88,70594110920.0,327001609,2632800
uruguay,2023,8.36,77991666838.0,378263140,2781494
uzbekistan,2020,5.29,66443265418.0,703,0
uzbekistan,2021,5.36,77340060003.0,16606212,104063
uzbekistan,2022,4.49,90095926567.0,57164447,365917
uzbekistan,2023,4.46,103000000000.0,62622200,370840
vanuatu,2020,4.05,909421044.0,47,0
vanuatu,2021,4.77,982362212.0,1122,0
vanuatu,2022,5.14,1030654208.0,2932349,3591
vanuatu,2023,5.08,1126313359.0,4386249,5110
world,2020,6.61,86100000000000.0,7358565981,235143772
world,2021,6.06,98400000000000.0,66122689186,1416783607
world,2022,5.26,102000000000000.0,194886000000,2300132523
world,2023,4.92,107000000000000.0,279135000000,2529520758
zambia,2020,6.03,18137764931.0,2361819,52044
zambia,2021,5.2,22096416932.0,51755293,836696
zambia,2022,6.0,29163782140.0,117456150,1452522
zambia,2023,5.91,27577956471.0,126212314,1481986
zimbabwe,2020,8.62,26868564055.0,1283963,36131
zimbabwe,2021,9.54,27240507842.0,29347347,1011231
zimbabwe,2022,10.09,32789657378.0,91006654,2007942
zimbabwe,2023,8.76,35231369343.0,96667194,2079558
