country,year,unemployment_rate,gdp_usd,total_cases,total_deaths
china,2021,4.55,18200000000000.0,41773740,1931305
china,2022,4.98,18300000000000.0,2075472686,7081740
china,2023,4.67,18300000000000.0,36085649572,42361377
colombia,2020,15.98,270000000000.0,147382989,4374717
colombia,2021,13.9,319000000000.0,1368646420,34992145
colombia,2022,10.55,346000000000.0,2236161740,50937541
colombia,2023,9.59,366000000000.0,2322625842,52073501
comoros,2020,4.47,1225039196.0,79969,1407
comoros,2021,4.39,1299039312.0,1370477,49435
comoros,2022,3.82,1279542248.0,3023268,58351
comoros,2023,3.78,1430523436.0,3315650,58400
costa rica,2020,16.43,62395610760.0,13734491,164305
costa rica,2021,15.14,64960725734.0,134236840,1697626
costa rica,2022,11.33,69243626029.0,347130675,3104352
costa rica,2023,8.33,86497941439.0,445814195,3401923
cote d'ivoire,2020,2.58,63027852805.0,3629641,23560
cote d'ivoire,2021,2.63,72794636649.0,17494420,141549
cote d'ivoire,2022,2.31,70922824824.0,30608144,293629
cote d'ivoire,2023,2.27,79618056324.0,32222780,304565
croatia,2020,7.51,57963370885.0,9165409,141769
croatia,2021,7.61,69006802299.0,134810153,2817522
croatia,2022,6.96,71198635102.0,413118241,5819703
croatia,2023,6.09,84393795502.0,465347295,6645699
cuba,2020,2.24,107000000000.0,1156325,26087
cyprus,2020,7.76,25555093854.0,925760,7416
cyprus,2021,7.51,30372642502.0,30618110,147004
cyprus,2022,6.81,30935566077.0,176271234,381248
cyprus,2023,6.1,33886930712.0,239905744,492108
czechia,2020,2.55,251000000000.0,38660504,583081
czechia,2021,2.8,291000000000.0,590650911,10156794
czechia,2022,2.22,302000000000.0,1496863230,14673772
czechia,2023,2.58,343000000000.0,1694610344,15604305
denmark,2020,5.64,356000000000.0,8604018,173515
denmark,2021,5.04,408000000000.0,114495722,909877
denmark,2022,4.43,402000000000.0,1075197003,2243568
denmark,2023,5.09,407000000000.0,1245517155,3151793
djibouti,2020,27.71,3144136197.0,1176864,12254
djibouti,2021,27.67,3392796953.0,3844829,49038
djibouti,2022,26.31,3562814909.0,5677086,68985
djibouti,2023,26.15,3917150481.0,5726850,68985
dominican republic,2020,6.13,78546672407.0,20526678,370812
dominican republic,2021,7.7,94850719517.0,112692333,1324677
dominican republic,2022,5.5,113000000000.0,219517506,1594112
dominican republic,2023,5.56,120000000000.0,241228185,1600160
ecuador,2020,6.13,95865473000.0,27503976,2002965
ecuador,2021,4.55,107000000000.0,152841236,8875002
ecuador,2022,3.76,116000000000.0,328830889,12963130
ecuador,2023,3.51,121000000000.0,387131734,13145463
el salvador,2020,5.01,24921190000.0,5218407,147948
el salvador,2021,4.33,29043140000.0,30329878,936545
el salvador,2022,3.0,31870120000.0,63431302,1508342
el salvador,2023,2.99,33853940000.0,73658555,1543950
equatorial guinea,2020,8.78,9893816008.0,1004934,14920
equatorial guinea,2021,8.98,12215878033.0,3341449,45294
equatorial guinea,2022,8.46,13687643436.0,5954404,66605
equatorial guinea,2023,8.37,12337550584.0,6250819,66795
estonia,2020,6.96,31820771494.0,2757342,40186
estonia,2021,6.18,37204563051.0,47747950,422548
estonia,2022,5.57,38376046175.0,193005892,879362
estonia,2023,6.38,41291245222.0,219344896,1049710
eswatini,2020,32.94,4120621325.0,897015,16831
eswatini,2021,34.15,4785708166.0,10575542,308069
eswatini,2022,35.36,4741163885.0,26187758,512412
eswatini,2023,35.09,4604172127.0,27280586,520407
ethiopia,2020,3.99,108000000000.0,12354621,195390
ethiopia,2021,3.94,111000000000.0,97727017,1562948
ethiopia,2022,3.41,127000000000.0,175305772,2735032
fiji,2020,4.65,4432466220.0,7461,276
fiji,2021,4.7,4305031650.0,7931194,92533
fiji,2022,4.45,4969503549.0,23965035,310594
fiji,2023,4.32,5442046553.0,25174813,322682
finland,2020,7.76,270000000000.0,3486987,94853
finland,2021,7.62,294000000000.0,42821945,384085
finland,2022,6.72,280000000000.0,403918832,1937007
finland,2023,7.15,295000000000.0,540262496,3660137
france,2020,8.01,2650000000000.0,149840077,6822987
france,2021,7.87,2970000000000.0,1961827522,39103853
france,2022,7.31,2800000000000.0,10536950075,54178473
france,2023,7.34,3050000000000.0,14165793264,60942789
french polynesia,2020,12.95,5574821989.0,951737,4684
french polynesia,2021,12.53,6150640646.0,10302037,109851
french polynesia,2022,11.89,5814661209.0,25844987,235920
french polynesia,2023,11.75,6402221222.0,28644974,236885
gabon,2020,21.27,15342236164.0,1673935,11044
gabon,2021,21.22,19444935097.0,8913447,58144
gabon,2022,20.4,20440655695.0,17465335,110922
gabon,2023,20.28,20055720403.0,17883826,111957
georgia,2020,11.73,16010869216.0,8623904,81430
georgia,2021,11.79,18853115589.0,167783960,2321332
georgia,2022,11.65,24984568960.0,595139612,6010307
georgia,2023,11.54,30777833601.0,672573623,6230684
germany,2020,3.88,3940000000000.0,112121257,3549363
germany,2021,3.59,4350000000000.0,1365210276,32841872
germany,2022,3.12,4160000000000.0,9585052828,52678382
