country,year,total_cases,total_deaths
Canada,2023,1702367238,19076773
Canada,2024,1042460053,11937507
Cape Verde,2020,1176152,11949
Cape Verde,2021,10355429,93462
Cape Verde,2022,21479747,147044
Cape Verde,2023,23325292,151267
Cape Verde,2024,13990858,90489
Cayman Islands,2020,52102,332
Cayman Islands,2021,533770,945
Cayman Islands,2022,9158198,9895
Cayman Islands,2023,11487280,13505
Cayman Islands,2024,6829424,8029
Central African Republic,2020,1097137,11529
Central African Republic,2021,3524588,32288
Central African Republic,2022,5333542,41065
Central African Republic,2023,5611296,41245
Central African Republic,2024,3350509,24521
Chad,2020,271023,19777
Chad,2021,1695505,59366
Chad,2022,2688556,70041
Chad,2023,2806473,70810
Chad,2024,1671030,42098
Chile,2020,89287354,2343895
Chile,2021,491796304,11027818
Chile,2022,1403657716,20218914
Chile,2023,1918704570,22705890
Chile,2024,1168227568,13576793
China,2020,28266643,1404019
China,2021,41773740,1931305
China,2022,2075472686,7081740
China,2023,36085649572,42361377
China,2024,21558488064,26500255
Colombia,2020,147382989,4374717
Colombia,2021,1368646420,34992145
Colombia,2022,2236161740,50937541
Colombia,2023,2322625842,52073501
Colombia,2024,1384975959,30971759
Comoros,2020,79969,1407
Comoros,2021,1370477,49435
Comoros,2022,3023268,58351
Comoros,2023,3315650,58400
Comoros,2024,1976653,34720
Congo,2020,877608,15753
Congo,2021,4644119,68902
Congo,2022,8880157,139821
Congo,2023,9186617,141859
Congo,2024,5472404,84413
Cook Islands,2020,0,0
Cook Islands,2021,0,0
Cook Islands,2022,1606248,252
Cook Islands,2023,2590896,695
Cook Islands,2024,1585796,434
Costa Rica,2020,13734491,164305
Costa Rica,2021,134236840,1697626
Costa Rica,2022,347130675,3104352
Costa Rica,2023,445814195,3401923
Costa Rica,2024,267504081,2033163
Cote d'Ivoire,2020,3629641,23560
Cote d'Ivoire,2021,17494420,141549
Cote d'Ivoire,2022,30608144,293629
Cote d'Ivoire,2023,32222780,304565
Cote d'Ivoire,2024,19184705,181195
Croatia,2020,9165409,141769
Croatia,2021,134810153,2817522
Croatia,2022,413118241,5819703
Croatia,2023,465347295,6645699
Croatia,2024,285634030,4068136
Cuba,2020,1156325,26087
Cuba,2021,146704934,1197866
Cuba,2022,398243489,3103909
Cuba,2023,406335278,3113450
Cuba,2024,241662174,1851010
Curacao,2020,163307,543
Curacao,2021,4367869,39640
Curacao,2022,15377580,99110
Curacao,2023,16730222,110611
Curacao,2024,9956611,66185
Cyprus,2020,925760,7416
Cyprus,2021,30618110,147004
Cyprus,2022,176271234,381248
Cyprus,2023,239905744,492108
Cyprus,2024,149802576,312390
Czechia,2020,38660504,583081
Czechia,2021,590650911,10156794
Czechia,2022,1496863230,14673772
Czechia,2023,1694610344,15604305
Czechia,2024,1032536191,9437450
Democratic Republic of Congo,2020,2186964,103100
Democratic Republic of Congo,2021,15227674,329597
Democratic Republic of Congo,2022,32818734,501453
Democratic Republic of Congo,2023,35569206,535225
Democratic Republic of Congo,2024,21779091,318884
Denmark,2020,8604018,173515
Denmark,2021,114495722,909877
Denmark,2022,1075197003,2243568
Denmark,2023,1245517155,3151793
Denmark,2024,745352616,2093865
Djibouti,2020,1176864,12254
Djibouti,2021,3844829,49038
Djibouti,2022,5677086,68985
Djibouti,2023,5726850,68985
Djibouti,2024,3404730,41013
Dominica,2020,8985,0
Dominica,2021,600589,3350
Dominica,2022,4898509,23803
Dominica,2023,5802268,27010
Dominica,2024,3482199,16058
Dominican Republic,2020,20526678,370812
Dominican Republic,2021,112692333,1324677
Dominican Republic,2022,219517506,1594112
Dominican Republic,2023,241228185,1600160
Dominican Republic,2024,143459351,951328
East Timor,2020,6876,0
East Timor,2021,3482419,16608
East Timor,2022,8269879,48296
East Timor,2023,8556768,50370
East Timor,2024,5090820,29946
Ecuador,2020,27503976,2002965
Ecuador,2021,152841236,8875002
Ecuador,2022,328830889,12963130
Ecuador,2023,387131734,13145463
Ecuador,2024,233224343,7821707
Egypt,2020,20473064,1107228
Egypt,2021,95174377,5468799
Egypt,2022,181715702,8888730
Egypt,2023,188317203,9061004
Egypt,2024,111976991,5388110
El Salvador,2020,5218407,147948
El Salvador,2021,30329878,936545
El Salvador,2022,63431302,1508342
El Salvador,2023,73658555,1543950
El Salvador,2024,43805790,917910
England,2020,0,0
England,2021,0,0
England,2022,0,0
England,2023,0,0
Equatorial Guinea,2020,1004934,14920
Equatorial Guinea,2021,3341449,45294
Equatorial Guinea,2022,5954404,66605
Equatorial Guinea,2023,6250819,66795
Equatorial Guinea,2024,3717210,39711
Eritrea,2020,82230,5
Eritrea,2021,1834400,9772
Eritrea,2022,3587274,36962
Eritrea,2023,3718985,37595
Eritrea,2024,2211013,22351
Estonia,2020,2757342,40186
Estonia,2021,47747950,422548
Estonia,2022,193005892,879362
Estonia,2023,219344896,1049710
Estonia,2024,132400429,649808
Eswatini,2020,897015,16831
Eswatini,2021,10575542,308069
Eswatini,2022,26187758,512412
Eswatini,2023,27280586,520407
